name,category,district,latitude,longitude
TS Office System,other,WP Kuala Lumpur,3.141090998156948,101.62973851618884
Kiara View Condominium,residential,WP Kuala Lumpur,3.1511825460600686,101.63151961016
E,residential,WP Kuala Lumpur,3.1873949986046464,101.7308985536416
F,residential,WP Kuala Lumpur,3.1871953396788264,101.73047010711264
F,residential,WP Kuala Lumpur,3.1874380342404955,101.7304853397777
UOB,other,Hulu Langat,3.1565424718098054,101.75067394380233
Sutera Damansara Ria 1 & 2,residential,Petaling,3.1877915052641126,101.5945982592108
Sutera Springs,residential,Petaling,3.186356018372104,101.59386950912844
Zhe Jiang Baijia Auto Air Conditioner Sdn Bhd,work,WP Kuala Lumpur,3.190885310913393,101.67918068379618
Sierra Mas,residential,Gombak,3.2067070346871707,101.59030839443264
Valencia,residential,Gombak,3.213532508158689,101.5875251447093
Casa Tropicana Condominium,residential,Petaling,3.137226234844339,101.5940783547456
